record_num,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,country
27,0.327,https://api.spotify.com/v1/audio-analysis/2IA8cFA46DkjgbsRG7kKbp,0.7,235973,0.71,2IA8cFA46DkjgbsRG7kKbp,0.0,11,0.129,-4.835,1,0.0532,167.971,4,https://api.spotify.com/v1/tracks/2IA8cFA46DkjgbsRG7kKbp,audio_features,spotify:track:2IA8cFA46DkjgbsRG7kKbp,0.582,Argentina
28,0.19,https://api.spotify.com/v1/audio-analysis/08aYFNUTIOMGq93e2VSArQ,0.77,225600,0.75,08aYFNUTIOMGq93e2VSArQ,0.0,0,0.0618,-2.715,1,0.0785,99.997,4,https://api.spotify.com/v1/tracks/08aYFNUTIOMGq93e2VSArQ,audio_features,spotify:track:08aYFNUTIOMGq93e2VSArQ,0.609,Argentina
29,0.307,https://api.spotify.com/v1/audio-analysis/2XXMDz7SPZ4mSFN1PXfHUy,0.772,254383,0.732,2XXMDz7SPZ4mSFN1PXfHUy,5.14e-06,9,0.106,-3.713,0,0.213,100.048,4,https://api.spotify.com/v1/tracks/2XXMDz7SPZ4mSFN1PXfHUy,audio_features,spotify:track:2XXMDz7SPZ4mSFN1PXfHUy,0.295,Argentina
30,0.188,https://api.spotify.com/v1/audio-analysis/2YRvdf9cdS88y1wB1WhKoE,0.796,204631,0.911,2YRvdf9cdS88y1wB1WhKoE,0.0,1,0.499,-1.998,1,0.285,180.128,4,https://api.spotify.com/v1/tracks/2YRvdf9cdS88y1wB1WhKoE,audio_features,spotify:track:2YRvdf9cdS88y1wB1WhKoE,0.918,Argentina
31,0.383,https://api.spotify.com/v1/audio-analysis/7kuRvjpeUcn6qNV9IBXC2C,0.73,304859,0.648,7kuRvjpeUcn6qNV9IBXC2C,0.000112,1,0.103,-6.405,0,0.378,187.991,4,https://api.spotify.com/v1/tracks/7kuRvjpeUcn6qNV9IBXC2C,audio_features,spotify:track:7kuRvjpeUcn6qNV9IBXC2C,0.675,Argentina
32,0.498,https://api.spotify.com/v1/audio-analysis/5NPzbTzFxIQPaheZuPhn4f,0.864,215963,0.426,5NPzbTzFxIQPaheZuPhn4f,0.000228,7,0.145,-8.392,0,0.0561,129.954,4,https://api.spotify.com/v1/tracks/5NPzbTzFxIQPaheZuPhn4f,audio_features,spotify:track:5NPzbTzFxIQPaheZuPhn4f,0.477,Argentina
33,0.175,https://api.spotify.com/v1/audio-analysis/04cd1MHVq1D8v1nuTZoCdv,0.823,186316,0.731,04cd1MHVq1D8v1nuTZoCdv,0.0,11,0.131,-3.399,0,0.103,152.024,4,https://api.spotify.com/v1/tracks/04cd1MHVq1D8v1nuTZoCdv,audio_features,spotify:track:04cd1MHVq1D8v1nuTZoCdv,0.952,Argentina
34,0.048,https://api.spotify.com/v1/audio-analysis/7uQmJ1jgNzBpATSoWKSPFu,0.632,198933,0.832,7uQmJ1jgNzBpATSoWKSPFu,0.0,7,0.0705,-1.948,0,0.154,182.184,4,https://api.spotify.com/v1/tracks/7uQmJ1jgNzBpATSoWKSPFu,audio_features,spotify:track:7uQmJ1jgNzBpATSoWKSPFu,0.784,Argentina
35,0.363,https://api.spotify.com/v1/audio-analysis/1DcxnVNFAyVl2sDQ646pXS,0.786,129040,0.65,1DcxnVNFAyVl2sDQ646pXS,8.17e-05,4,0.122,-6.839,1,0.109,92.975,4,https://api.spotify.com/v1/tracks/1DcxnVNFAyVl2sDQ646pXS,audio_features,spotify:track:1DcxnVNFAyVl2sDQ646pXS,0.712,Argentina
36,0.354,https://api.spotify.com/v1/audio-analysis/0OWcpVA83HI8Pb5DybDuoX,0.882,456940,0.777,0OWcpVA83HI8Pb5DybDuoX,0.0,5,0.135,-4.445,1,0.0504,121.985,4,https://api.spotify.com/v1/tracks/0OWcpVA83HI8Pb5DybDuoX,audio_features,spotify:track:0OWcpVA83HI8Pb5DybDuoX,0.533,Argentina
